slug,occurrences,pct_sites
mentions-legales,5715,100.7%
index,5557,97.9%
contact,3973,70.0%
vente,3014,53.1%
agence,2804,49.4%
annonces,2647,46.6%
politique-de-confidentialite,2565,45.2%
nos-biens,2439,43.0%
qui-sommes-nous,2366,41.7%
a-propos,2324,41.0%
biens,2268,40.0%
contactez-nous,2224,39.2%
equipe,2219,39.1%
ventes,2201,38.8%
notre-agence,2186,38.5%
mentions_legales,2110,37.2%
nos-biens-a-vendre,2092,36.9%
nos-offres,2088,36.8%
nos-agents,2086,36.8%
liste-des-biens,2060,36.3%
toutes-nos-annonces,2060,36.3%
notre-equipe-de-professionnels,2058,36.3%
nos-experts,2057,36.2%
nos-mandats,2056,36.2%
nos-conseillers,2055,36.2%
nos-proprietes,2053,36.2%
equipe-agence,2048,36.1%
mentions-legales.php,1753,30.9%
notre-equipe,1547,27.3%
